Date,Price,Open,High,Low,Vol.,Change %
07/23/2021,3915.0,3915.0,3915.0,3915.0,,7.88%
07/26/2021,3950.0,3950.0,3950.0,3950.0,,0.89%
07/27/2021,3844.0,3844.0,3844.0,3844.0,,-2.68%
07/28/2021,3841.0,3841.0,3841.0,3841.0,,-0.08%
07/29/2021,4056.0,4056.0,4056.0,4056.0,,5.60%
07/30/2021,4306.0,4306.0,4306.0,4306.0,,6.16%
08/02/2021,4272.0,4272.0,4272.0,4272.0,,-0.79%
08/03/2021,4246.0,4246.0,4246.0,4246.0,,-0.61%
08/04/2021,4302.0,4302.0,4302.0,4302.0,,1.32%
08/05/2021,4414.0,4414.0,4414.0,4414.0,,2.60%
08/06/2021,4359.0,4359.0,4359.0,4359.0,,-1.25%
08/09/2021,4342.0,4342.0,4342.0,4342.0,,-0.39%
08/10/2021,4328.0,4328.0,4328.0,4328.0,,-0.32%
08/11/2021,4384.0,4384.0,4384.0,4384.0,,1.29%
08/12/2021,4608.0,4608.0,4608.0,4608.0,,5.11%
08/13/2021,4766.0,4766.0,4766.0,4766.0,,3.43%
08/16/2021,4852.0,4852.0,4852.0,4852.0,,1.80%
08/17/2021,4950.0,4950.0,4950.0,4950.0,,2.02%
08/18/2021,5365.0,5365.0,5365.0,5365.0,,8.38%
08/19/2021,5711.0,5711.0,5711.0,5711.0,,6.45%
08/20/2021,5997.0,5997.0,5997.0,5997.0,,5.01%
08/23/2021,6114.0,6114.0,6114.0,6114.0,,1.95%
08/24/2021,6206.0,6206.0,6206.0,6206.0,,1.50%
08/25/2021,6109.0,6109.0,6109.0,6109.0,,-1.56%
08/26/2021,6043.0,6043.0,6043.0,6043.0,,-1.08%
08/27/2021,6162.0,6162.0,6162.0,6162.0,,1.97%
08/31/2021,5919.0,5919.0,5919.0,5919.0,,-3.94%
09/01/2021,5666.0,5666.0,5666.0,5666.0,,-4.27%
09/02/2021,5716.0,5716.0,5716.0,5716.0,,0.88%
